=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 156           | INICIANDO
CICLO  78: PC=18 | MULT R8, R6, R7      | R8 = R6 * R7 = 2 * 10 = 20
CICLO  79: PC=19 | LW R2, 0(FP)         | INICIANDO
CICLO  80: PC=19 | LW R2, 0(FP)         | R2 = MEM[253] = 1
    ESTADO: R2=1, R3=5, R4=1, R5=1, R6=2, R7=10, R8=20, R10=156, R11=1, R12=1, GP=156, SP=253, FP=253

CICLO  81: PC=20 | SLL R9, R2, 2        | INICIANDO
CICLO  82: PC=20 | SLL R9, R2, 2        | R9 = R2 << 2 = 1 << 2 = 4
CICLO  83: PC=21 | ADDI R10, GP, 0      | INICIANDO
CICLO  84: PC=21 | ADDI R10, GP, 0      | R10 = R28(156) + 0 = 156 (era 156)
CICLO  85: PC=22 | ADD R10, R10, R9     | INICIANDO
CICLO  86: PC=22 | ADD R10, R10, R9     | R10 = R10 + R9 = 160 + 4 = 160
CICLO  87: PC=23 | SW R8, 0(R10)        | INICIANDO
CICLO  88: PC=23 | SW R8, 0(R10)        | MEM[160] = R8 = 20
CICLO  89: PC=24 | LI R11, 1            | INICIANDO
CICLO  90: PC=24 | LI R11, 1            | R11 = 1
    ESTADO: R2=1, R3=5, R4=1, R5=1, R6=2, R7=10, R8=20, R9=4, R10=160, R11=1, R12=1, GP=156, SP=253, FP=253

CICLO  91: PC=25 | LW R2, 0(FP)         | INICIANDO
CICLO  92: PC=25 | LW R2, 0(FP)         | R2 = MEM[253] = 1
CICLO  93: PC=26 | ADD R12, R2, R11     | INICIANDO
CICLO  94: PC=26 | ADD R12, R2, R11     | R12 = R2 + R11 = 1 + 1 = 2
CICLO  95: PC=27 | MOVE R2, R12         | INICIANDO
CICLO  96: PC=27 | MOVE R2, R12         | R2 = R12 = 2 (era 1)
CICLO  97: PC=28 | SW R2, 0(FP)         | INICIANDO
CICLO  98: PC=28 | SW R2, 0(FP)         | MEM[253] = R2 = 2
CICLO  99: PC=29 | J 10                 | INICIANDO
CICLO 100: PC=10 | J 10                 | Jump to 10
    ESTADO: R2=2, R3=5, R4=1, R5=1, R6=2, R7=10, R8=20, R9=4, R10=160, R11=1, R12=2, GP=156, SP=253, FP=253

CICLO 101: PC=10 | LI R3, 5             | INICIANDO
CICLO 102: PC=10 | LI R3, 5             | R3 = 5
CICLO 103: PC=11 | LW R2, 0(FP)         | INICIANDO
CICLO 104: PC=11 | LW R2, 0(FP)         | R2 = MEM[253] = 2
CICLO 105: PC=12 | SLT R4, R2, R3       | INICIANDO
CICLO 106: PC=12 | SLT R4, R2, R3       | R4 = (R2 < R3) = (2 < 5) = 1
CICLO 107: PC=13 | BEQ R4, R0, 30       | INICIANDO
CICLO 108: PC=13 | BEQ R4, R0, 30       | R4(1) == R0(0) -> Continue
CICLO 109: PC=14 | LI R5, 1             | INICIANDO
CICLO 110: PC=14 | LI R5, 1             | R5 = 1
    ESTADO: R2=2, R3=5, R4=1, R5=1, R6=2, R7=10, R8=20, R9=4, R10=160, R11=1, R12=2, GP=156, SP=253, FP=253

CICLO 111: PC=15 | LW R2, 0(FP)         | INICIANDO
CICLO 112: PC=15 | LW R2, 0(FP)         | R2 = MEM[253] = 2
CICLO 113: PC=16 | ADD R6, R2, R5       | INICIANDO
CICLO 114: PC=16 | ADD R6, R2, R5       | R6 = R2 + R5 = 2 + 1 = 3
CICLO 115: PC=17 | LI R7, 10            | INICIANDO
CICLO 116: PC=17 | LI R7, 10            | R7 = 10
CICLO 117: PC=18 | MULT R8, R6, R7      | INICIANDO
CICLO 118: PC=18 | MULT R8, R6, R7      | R8 = R6 * R7 = 3 * 10 = 30
CICLO 119: PC=19 | LW R2, 0(FP)         | INICIANDO
CICLO 120: PC=19 | LW R2, 0(FP)         | R2 = MEM[253] = 2
    ESTADO: R2=2, R3=5, R4=1, R5=1, R6=3, R7=10, R8=30, R9=4, R10=160, R11=1, R12=2, GP=156, SP=253, FP=253

CICLO 121: PC=20 | SLL R9, R2, 2        | INICIANDO
CICLO 122: PC=20 | SLL R9, R2, 2        | R9 = R2 << 2 = 2 << 2 = 8
CICLO 123: PC=21 | ADDI R10, GP, 0      | INICIANDO
CICLO 124: PC=21 | ADDI R10, GP, 0      | R10 = R28(156) + 0 = 156 (era 160)
CICLO 125: PC=22 | ADD R10, R10, R9     | INICIANDO
CICLO 126: PC=22 | ADD R10, R10, R9     | R10 = R10 + R9 = 164 + 8 = 164
CICLO 127: PC=23 | SW R8, 0(R10)        | INICIANDO
CICLO 128: PC=23 | SW R8, 0(R10)        | MEM[164] = R8 = 30
CICLO 129: PC=24 | LI R11, 1            | INICIANDO
CICLO 130: PC=24 | LI R11, 1            | R11 = 1
    ESTADO: R2=2, R3=5, R4=1, R5=1, R6=3, R7=10, R8=30, R9=8, R10=164, R11=1, R12=2, GP=156, SP=253, FP=253

CICLO 131: PC=25 | LW R2, 0(FP)         | INICIANDO
CICLO 132: PC=25 | LW R2, 0(FP)         | R2 = MEM[253] = 2
CICLO 133: PC=26 | ADD R12, R2, R11     | INICIANDO
CICLO 134: PC=26 | ADD R12, R2, R11     | R12 = R2 + R11 = 2 + 1 = 3
CICLO 135: PC=27 | MOVE R2, R12         | INICIANDO
CICLO 136: PC=27 | MOVE R2, R12         | R2 = R12 = 3 (era 2)
CICLO 137: PC=28 | SW R2, 0(FP)         | INICIANDO
CICLO 138: PC=28 | SW R2, 0(FP)         | MEM[253] = R2 = 3
CICLO 139: PC=29 | J 10                 | INICIANDO
CICLO 140: PC=10 | J 10                 | Jump to 10
    ESTADO: R2=3, R3=5, R4=1, R5=1, R6=3, R7=10, R8=30, R9=8, R10=164, R11=1, R12=3, GP=156, SP=253, FP=253

CICLO 141: PC=10 | LI R3, 5             | INICIANDO
CICLO 142: PC=10 | LI R3, 5             | R3 = 5
CICLO 143: PC=11 | LW R2, 0(FP)         | INICIANDO
CICLO 144: PC=11 | LW R2, 0(FP)         | R2 = MEM[253] = 3
CICLO 145: PC=12 | SLT R4, R2, R3       | INICIANDO
CICLO 146: PC=12 | SLT R4, R2, R3       | R4 = (R2 < R3) = (3 < 5) = 1
CICLO 147: PC=13 | BEQ R4, R0, 30       | INICIANDO
CICLO 148: PC=13 | BEQ R4, R0, 30       | R4(1) == R0(0) -> Continue
CICLO 149: PC=14 | LI R5, 1             | INICIANDO
CICLO 150: PC=14 | LI R5, 1             | R5 = 1
    ESTADO: R2=3, R3=5, R4=1, R5=1, R6=3, R7=10, R8=30, R9=8, R10=164, R11=1, R12=3, GP=156, SP=253, FP=253

CICLO 151: PC=15 | LW R2, 0(FP)         | INICIANDO
CICLO 152: PC=15 | LW R2, 0(FP)         | R2 = MEM[253] = 3
CICLO 153: PC=16 | ADD R6, R2, R5       | INICIANDO
CICLO 154: PC=16 | ADD R6, R2, R5       | R6 = R2 + R5 = 3 + 1 = 4
CICLO 155: PC=17 | LI R7, 10            | INICIANDO
CICLO 156: PC=17 | LI R7, 10            | R7 = 10
CICLO 157: PC=18 | MULT R8, R6, R7      | INICIANDO
CICLO 158: PC=18 | MULT R8, R6, R7      | R8 = R6 * R7 = 4 * 10 = 40
CICLO 159: PC=19 | LW R2, 0(FP)         | INICIANDO
CICLO 160: PC=19 | LW R2, 0(FP)         | R2 = MEM[253] = 3
    ESTADO: R2=3, R3=5, R4=1, R5=1, R6=4, R7=10, R8=40, R9=8, R10=164, R11=1, R12=3, GP=156, SP=253, FP=253

CICLO 161: PC=20 | SLL R9, R2, 2        | INICIANDO
CICLO 162: PC=20 | SLL R9, R2, 2        | R9 = R2 << 2 = 3 << 2 = 12
CICLO 163: PC=21 | ADDI R10, GP, 0      | INICIANDO
CICLO 164: PC=21 | ADDI R10, GP, 0      | R10 = R28(156) + 0 = 156 (era 164)
CICLO 165: PC=22 | ADD R10, R10, R9     | INICIANDO
CICLO 166: PC=22 | ADD R10, R10, R9     | R10 = R10 + R9 = 168 + 12 = 168
CICLO 167: PC=23 | SW R8, 0(R10)        | INICIANDO
CICLO 168: PC=23 | SW R8, 0(R10)        | MEM[168] = R8 = 40
CICLO 169: PC=24 | LI R11, 1            | INICIANDO
CICLO 170: PC=24 | LI R11, 1            | R11 = 1
    ESTADO: R2=3, R3=5, R4=1, R5=1, R6=4, R7=10, R8=40, R9=12, R10=168, R11=1, R12=3, GP=156, SP=253, FP=253

CICLO 171: PC=25 | LW R2, 0(FP)         | INICIANDO
CICLO 172: PC=25 | LW R2, 0(FP)         | R2 = MEM[253] = 3
CICLO 173: PC=26 | ADD R12, R2, R11     | INICIANDO
CICLO 174: PC=26 | ADD R12, R2, R11     | R12 = R2 + R11 = 3 + 1 = 4
CICLO 175: PC=27 | MOVE R2, R12         | INICIANDO
CICLO 176: PC=27 | MOVE R2, R12         | R2 = R12 = 4 (era 3)
CICLO 177: PC=28 | SW R2, 0(FP)         | INICIANDO
CICLO 178: PC=28 | SW R2, 0(FP)         | MEM[253] = R2 = 4
CICLO 179: PC=29 | J 10                 | INICIANDO
CICLO 180: PC=10 | J 10                 | Jump to 10
    ESTADO: R2=4, R3=5, R4=1, R5=1, R6=4, R7=10, R8=40, R9=12, R10=168, R11=1, R12=4, GP=156, SP=253, FP=253

CICLO 181: PC=10 | LI R3, 5             | INICIANDO
CICLO 182: PC=10 | LI R3, 5             | R3 = 5
CICLO 183: PC=11 | LW R2, 0(FP)         | INICIANDO
CICLO 184: PC=11 | LW R2, 0(FP)         | R2 = MEM[253] = 4
CICLO 185: PC=12 | SLT R4, R2, R3       | INICIANDO
CICLO 186: PC=12 | SLT R4, R2, R3       | R4 = (R2 < R3) = (4 < 5) = 1
CICLO 187: PC=13 | BEQ R4, R0, 30       | INICIANDO
CICLO 188: PC=13 | BEQ R4, R0, 30       | R4(1) == R0(0) -> Continue
CICLO 189: PC=14 | LI R5, 1             | INICIANDO
CICLO 190: PC=14 | LI R5, 1             | R5 = 1
    ESTADO: R2=4, R3=5, R4=1, R5=1, R6=4, R7=10, R8=40, R9=12, R10=168, R11=1, R12=4, GP=156, SP=253, FP=253

CICLO 191: PC=15 | LW R2, 0(FP)         | INICIANDO
CICLO 192: PC=15 | LW R2, 0(FP)         | R2 = MEM[253] = 4
CICLO 193: PC=16 | ADD R6, R2, R5       | INICIANDO
CICLO 194: PC=16 | ADD R6, R2, R5       | R6 = R2 + R5 = 4 + 1 = 5
CICLO 195: PC=17 | LI R7, 10            | INICIANDO
CICLO 196: PC=17 | LI R7, 10            | R7 = 10
CICLO 197: PC=18 | MULT R8, R6, R7      | INICIANDO
CICLO 198: PC=18 | MULT R8, R6, R7      | R8 = R6 * R7 = 5 * 10 = 50
CICLO 199: PC=19 | LW R2, 0(FP)         | INICIANDO
CICLO 200: PC=19 | LW R2, 0(FP)         | R2 = MEM[253] = 4
    ESTADO: R2=4, R3=5, R4=1, R5=1, R6=5, R7=10, R8=50, R9=12, R10=168, R11=1, R12=4, GP=156, SP=253, FP=253

CICLO 201: PC=20 | SLL R9, R2, 2        | INICIANDO
CICLO 202: PC=20 | SLL R9, R2, 2        | R9 = R2 << 2 = 4 << 2 = 16
CICLO 203: PC=21 | ADDI R10, GP, 0      | INICIANDO
CICLO 204: PC=21 | ADDI R10, GP, 0      | R10 = R28(156) + 0 = 156 (era 168)
CICLO 205: PC=22 | ADD R10, R10, R9     | INICIANDO
CICLO 206: PC=22 | ADD R10, R10, R9     | R10 = R10 + R9 = 172 + 16 = 172
CICLO 207: PC=23 | SW R8, 0(R10)        | INICIANDO
CICLO 208: PC=23 | SW R8, 0(R10)        | MEM[172] = R8 = 50
CICLO 209: PC=24 | LI R11, 1            | INICIANDO
CICLO 210: PC=24 | LI R11, 1            | R11 = 1
    ESTADO: R2=4, R3=5, R4=1, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=4, GP=156, SP=253, FP=253

CICLO 211: PC=25 | LW R2, 0(FP)         | INICIANDO
CICLO 212: PC=25 | LW R2, 0(FP)         | R2 = MEM[253] = 4
CICLO 213: PC=26 | ADD R12, R2, R11     | INICIANDO
CICLO 214: PC=26 | ADD R12, R2, R11     | R12 = R2 + R11 = 4 + 1 = 5
CICLO 215: PC=27 | MOVE R2, R12         | INICIANDO
CICLO 216: PC=27 | MOVE R2, R12         | R2 = R12 = 5 (era 4)
CICLO 217: PC=28 | SW R2, 0(FP)         | INICIANDO
CICLO 218: PC=28 | SW R2, 0(FP)         | MEM[253] = R2 = 5
CICLO 219: PC=29 | J 10                 | INICIANDO
CICLO 220: PC=10 | J 10                 | Jump to 10
    ESTADO: R2=5, R3=5, R4=1, R5=1, R6=5, R7=10, R8=50, R9=16, R10=172, R11=1, R12=5, GP=156, SP=253, FP=253

CICLO 221: PC=10 | LI R3, 5             | INICIANDO
CICLO 222: PC=10 | LI R3, 5             | R3 = 5
CICLO 223: PC=11 | LW R2, 0(FP)         | INICIANDO
CICLO 224: PC=11 | LW R2, 0(FP)         | R2 = MEM[253] = 5
CICLO 225: PC=12 | SLT R4, R2, R3       | INICIANDO
CICLO 226: PC=12 | SLT R4, R2, R3       | R4 = (R2 < R3) = (5 < 5) = 0
CICLO 227: PC=13 | BEQ R4, R0, 30       | INICIANDO
