=== LOG DE EXECUÇÃO DETALHADO - MIPS SIMULATOR ===
Arquivo gerado automaticamente para debug
Arquitetura: 32 bits
Entradas programadas: []
============================================================

CICLO   1: PC= 0 | LI GP, 164           | INICIANDO
CICLO  77: PC=16 | JR RA                | INICIANDO
CICLO  78: PC=44 | JR RA                | Jump to R31 = 44
CICLO  79: PC=44 | MOVE R9, R1          | INICIANDO
CICLO  80: PC=44 | MOVE R9, R1          | R9 = R1 = 10 (era 0)
    ESTADO: R1=10, R2=7, R3=10, R4=3, R5=7, R7=3, R8=7, R9=10, R14=3, R15=7, GP=164, SP=245, FP=245, RA=44

CICLO  81: PC=45 | MOVE R10, R9         | INICIANDO
CICLO  82: PC=45 | MOVE R10, R9         | R10 = R9 = 10 (era 0)
CICLO  83: PC=46 | SW R10, 2(FP)        | INICIANDO
CICLO  84: PC=46 | SW R10, 2(FP)        | MEM[247] = R10 = 10
CICLO  85: PC=47 | LI R11, 2            | INICIANDO
CICLO  86: PC=47 | LI R11, 2            | R11 = 2
CICLO  87: PC=48 | LW R10, 2(FP)        | INICIANDO
CICLO  88: PC=48 | LW R10, 2(FP)        | R10 = MEM[247] = 10
CICLO  89: PC=49 | MOVE R4, R10         | INICIANDO
CICLO  90: PC=49 | MOVE R4, R10         | R4 = R10 = 10 (era 3)
    ESTADO: R1=10, R2=7, R3=10, R4=10, R5=7, R7=3, R8=7, R9=10, R10=10, R11=2, R14=3, R15=7, GP=164, SP=245, FP=245, RA=44

CICLO  91: PC=50 | MOVE R5, R11         | INICIANDO
CICLO  92: PC=50 | MOVE R5, R11         | R5 = R11 = 2 (era 7)
CICLO  93: PC=51 | JAL 17               | INICIANDO
CICLO  94: PC=17 | JAL 17               | RA = 52, Jump to 17
CICLO  95: PC=17 | SUBI SP, SP, 8       | INICIANDO
CICLO  96: PC=17 | SUBI SP, SP, 8       | R29 = R29(237) - 8 = 237 (era 245)
CICLO  97: PC=18 | SW RA, 7(SP)         | INICIANDO
CICLO  98: PC=18 | SW RA, 7(SP)         | MEM[244] = R31 = 52
CICLO  99: PC=19 | SW FP, 6(SP)         | INICIANDO
CICLO 100: PC=19 | SW FP, 6(SP)         | MEM[243] = R30 = 245
    ESTADO: R1=10, R2=7, R3=10, R4=10, R5=2, R7=3, R8=7, R9=10, R10=10, R11=2, R14=3, R15=7, GP=164, SP=237, FP=245, RA=52

CICLO 101: PC=20 | MOVE FP, SP          | INICIANDO
CICLO 102: PC=20 | MOVE FP, SP          | R30 = R29 = 237 (era 245)
CICLO 103: PC=21 | SW R4, 0(FP)         | INICIANDO
CICLO 104: PC=21 | SW R4, 0(FP)         | MEM[237] = R4 = 10
CICLO 105: PC=22 | SW R5, 1(FP)         | INICIANDO
CICLO 106: PC=22 | SW R5, 1(FP)         | MEM[238] = R5 = 2
CICLO 107: PC=23 | LW R4, 0(FP)         | INICIANDO
CICLO 108: PC=23 | LW R4, 0(FP)         | R4 = MEM[237] = 10
CICLO 109: PC=24 | LW R5, 1(FP)         | INICIANDO
CICLO 110: PC=24 | LW R5, 1(FP)         | R5 = MEM[238] = 2
    ESTADO: R1=10, R2=7, R3=10, R4=10, R5=2, R7=3, R8=7, R9=10, R10=10, R11=2, R14=3, R15=7, GP=164, SP=237, FP=237, RA=52

CICLO 111: PC=25 | MULT R6, R4, R5      | INICIANDO
CICLO 112: PC=25 | MULT R6, R4, R5      | R6 = R4 * R5 = 10 * 2 = 20
CICLO 113: PC=26 | MOVE R1, R6          | INICIANDO
CICLO 114: PC=26 | MOVE R1, R6          | R1 = R6 = 20 (era 10)
CICLO 115: PC=27 | LW RA, 7(FP)         | INICIANDO
CICLO 116: PC=27 | LW RA, 7(FP)         | R31 = MEM[244] = 52
CICLO 117: PC=28 | LW FP, 6(FP)         | INICIANDO
CICLO 118: PC=28 | LW FP, 6(FP)         | R30 = MEM[243] = 245
CICLO 119: PC=29 | ADDI SP, SP, 8       | INICIANDO
CICLO 120: PC=29 | ADDI SP, SP, 8       | R29 = R29(245) + 8 = 245 (era 237)
    ESTADO: R1=20, R2=7, R3=10, R4=10, R5=2, R6=20, R7=3, R8=7, R9=10, R10=10, R11=2, R14=3, R15=7, GP=164, SP=245, FP=245, RA=52

CICLO 121: PC=30 | JR RA                | INICIANDO
CICLO 122: PC=52 | JR RA                | Jump to R31 = 52
CICLO 123: PC=52 | MOVE R12, R1         | INICIANDO
CICLO 124: PC=52 | MOVE R12, R1         | R12 = R1 = 20 (era 0)
CICLO 125: PC=53 | MOVE R13, R12        | INICIANDO
CICLO 126: PC=53 | MOVE R13, R12        | R13 = R12 = 20 (era 0)
CICLO 127: PC=54 | SW R13, 3(FP)        | INICIANDO
CICLO 128: PC=54 | SW R13, 3(FP)        | MEM[248] = R13 = 20
CICLO 129: PC=55 | LW R13, 3(FP)        | INICIANDO
CICLO 130: PC=55 | LW R13, 3(FP)        | R13 = MEM[248] = 20
    ESTADO: R1=20, R2=7, R3=10, R4=10, R5=2, R6=20, R7=3, R8=7, R9=10, R10=10, R11=2, R12=20, R13=20, R14=3, R15=7, GP=164, SP=245, FP=245, RA=52

CICLO 131: PC=56 | MOVE R1, R13         | INICIANDO
CICLO 132: PC=56 | MOVE R1, R13         | R1 = R13 = 20 (era 20)
CICLO 133: PC=57 | LW RA, 7(FP)         | INICIANDO
CICLO 134: PC=57 | LW RA, 7(FP)         | R31 = MEM[252] = 70
CICLO 135: PC=58 | LW FP, 6(FP)         | INICIANDO
CICLO 136: PC=58 | LW FP, 6(FP)         | R30 = MEM[251] = 253
CICLO 137: PC=59 | ADDI SP, SP, 8       | INICIANDO
CICLO 138: PC=59 | ADDI SP, SP, 8       | R29 = R29(253) + 8 = 253 (era 245)
CICLO 139: PC=60 | JR RA                | INICIANDO
CICLO 140: PC=70 | JR RA                | Jump to R31 = 70
    ESTADO: R1=20, R2=7, R3=10, R4=10, R5=2, R6=20, R7=3, R8=7, R9=10, R10=10, R11=2, R12=20, R13=20, R14=3, R15=7, GP=164, SP=253, FP=253, RA=70

CICLO 141: PC=70 | MOVE R16, R1         | INICIANDO
CICLO 142: PC=70 | MOVE R16, R1         | R16 = R1 = 20 (era 0)
CICLO 143: PC=71 | MOVE R7, R1          | INICIANDO
CICLO 144: PC=71 | MOVE R7, R1          | R7 = R1 = 20 (era 3)
CICLO 145: PC=72 | MOVE R17, R16        | INICIANDO
CICLO 146: PC=72 | MOVE R17, R16        | R17 = R16 = 20 (era 0)
CICLO 147: PC=73 | SW R17, 0(FP)        | INICIANDO
CICLO 148: PC=73 | SW R17, 0(FP)        | MEM[253] = R17 = 20
